"word1","word2","freq"
"st","charles",17
"t","like",17
"th","anniversary",17
"theyâ","d",17
"weâ","d",17
"weve","got",17
"will","open",17
"will","still",17
"â","im",16
"â","really",16
"â","think",16
"â","well",16
"according","report",16
"can","come",16
"childrenâ","s",16
"civil","war",16
"come","home",16
"couple","days",16
"couple","months",16
"couple","weeks",16
"dont","care",16
"early","s",16
"edi","â",16
"ever","since",16
"get","away",16
"good","friend",16
"good","time",16
"great","way",16
"great","weekend",16
"hard","get",16
"hasnâ","t",16
"hunger","games",16
"im","still",16
"income","tax",16
"just","thought",16
"just","two",16
"know","just",16
"last","summer",16
"little","girl",16
"monday","night",16
"now","just",16
"past","years",16
"people","want",16
"per","game",16
"pleaded","guilty",16
"ready","go",16
"really","need",16
"really","really",16
"really","well",16
"s","also",16
"s","first",16
"seemed","like",16
"short","term",16
"six","years",16
"sound","like",16
"t","shirts",16
"try","make",16
"trying","make",16
"ve","always",16
"way","back",16
"werenâ","t",16
"will","say",16
"will","start",16
"will","tell",16
"young","people",16
"â","thatâ",15
"â","weâ",15
"can","give",15
"city","hall",15
"day","just",15
"dont","forget",15
"earlier","month",15
"every","night",15
"first","one",15
"go","go",15
"good","job",15
"ha","ha",15
"head","coach",15
"id","like",15
"im","excited",15
"just","going",15
"just","saw",15
"just","started",15
"know","iâ",15
"know","im",15
"like","many",15
"make","sense",15
"may","also",15
"medical","center",15
"mid","s",15
"might","get",15
"mitt","romney",15
"new","one",15
"one","one",15
"one","side",15
"police","officer",15
"re","election",15
"recent","years",15
"said","didnt",15
"school","board",15
"school","year",15
"t","need",15
"thanks","following",15
"think","im",15
"think","might",15
"three","days",15
"thursday","night",15
"time","â",15
"time","year",15
"try","get",15
"two","hours",15
"two","run",15
"ve","never",15
"way","can",15
"wide","open",15
"will","end",15
"will","provide",15
"will","try",15
"work","hard",15
"yet","another",15
"youd","like",15
"young","man",15
"â","know",14
"always","wanted",14
"around","corner",14
"authorities","said",14
"beautiful","day",14
"best","thing",14
"can","imagine",14
"days","ago",14
"didnt","even",14
"dont","believe",14
"executive","director",14
"feel","better",14
"final","four",14
"find","way",14
"first","book",14
"friends","family",14
"get","better",14
"get","ready",14
"get","rid",14
"good","night",14
"help","us",14
"im","getting",14
"ive","always",14
"just","finished",14
"just","love",14
"just","right",14
"last","day",14
"like","people",14
"lot","things",14
"louis","county",14
"makes","sense",14
"middle","class",14
"motherâ","s",14
"much","can",14
"much","less",14
"never","seen",14
"now","will",14
"officials","say",14
"one","three",14
"one","way",14
"oneâ","s",14
"people","just",14
"people","know",14
"right","thing",14
"s","one",14
"said","today",14
"say","hi",14
"say","something",14
"second","round",14
"see","one",14
"seem","like",14
"square","feet",14
"stateâ","s",14
"t","seem",14
"t","shirt",14
"things","life",14
"time","make",14
"tonight","pm",14
"two","games",14
"us","know",14
"valentines","day",14
"ve","seen",14
"wanted","get",14
"will","begin",14
"will","keep",14
"will","pay",14
"will","receive",14
"will","work",14
"worldâ","s",14
"years","now",14
"â","even",13
"â","great",13
"â","two",13
"around","house",13
"bank","account",13
"can","done",13
"can","never",13
"carolina","florists",13
"chance","win",13
"conway","south",13
"day","weekend",13
"day","will",13
"dont","worry",13
"either","way",13
"end","year",13
"feel","good",13
"four","five",13
"get","done",13
"get","work",13
"go","away",13
"go","get",13
"going","make",13
"good","enough",13
"good","times",13
"got","back",13
"great","deal",13
"half","hour",13
"happy","mothers",13
"happy","new",13
"ill","take",13
"im","one",13
"im","really",13
"just","another",13
"just","let",13
"last","minute",13
"life","can",13
"like","one",13
"lol","im",13
"long","enough",13
"makes","feel",13
"mg","sodium",13
"million","million",13
"move","forward",13
"much","like",13
"nationâ","s",13
"need","help",13
"need","know",13
"next","morning",13
"next","season",13
"nine","years",13
"oh","well",13
"oregon","state",13
"part","time",13
"past","year",13
"people","get",13
"people","think",13
"pm","pm",13
"president","barack",13
"prime","minister",13
"public","health",13
"real","life",13
"really","hard",13
"rose","percent",13
"rt","rt",13
"running","back",13
"s","time",13
"said","wednesday",13
"set","aside",13
"since","last",13
"someone","else",13
"spending","time",13
"stay","home",13
"t","say",13
"t","take",13
"take","away",13
"things","can",13
"things","done",13
"things","going",13
"think","good",13
"think","itâ",13
"third","quarter",13
"thought","id",13
"told","us",13
"took","place",13
"two","months",13
"unemployment","rate",13
"wanted","know",13
"washington","state",13
"west","side",13
"will","ever",13
"will","run",13
"year","â",13
"â","come",12
"â","love",12
"â","may",12
"â","new",12
"â","time",12
"across","state",12
"answer","question",12
"april","th",12
"around","country",12
"blah","blah",12
"blog","post",12
"board","members",12
"brown","sugar",12
"came","back",12
"can","put",12
"cant","afford",12
"cinco","de",12
"cleveland","ohio",12
"couldnt","get",12
"day","â",12
"de","mayo",12
"design","team",12
"didnt","make",12
"didnt","think",12
"e","mails",12
"elementary","school",12
"fell","percent",12
"finally","got",12
"food","processor",12
"four","times",12
"four","year",12
"get","one",12
"gives","us",12
"going","back",12
"got","new",12
"hall","fame",12
"havent","seen",12
"high","schools",12
"hope","will",12
"id","love",12
"id","rather",12
"ill","get",12
"im","ready",12
"im","talking",12
"im","thinking",12
"itâ","ll",12
"just","little",12
"know","love",12
"know","well",12
"last","three",12
"late","s",12
"let","alone",12
"like","good",12
"like","just",12
"like","see",12
"live","life",12
"locker","room",12
"long","ago",12
"made","sure",12
"make","difference",12
"make","feel",12
"make","one",12
"make","things",12
"many","different",12
"many","many",12
"martin","luther",12
"never","heard",12
"next","door",12
"next","two",12
"old","daughter",12
"one","favorite",12
"one","last",12
"one","man",12
"one","many",12
"open","public",12
"opening","day",12
"people","need",12
"phone","calls",12
"police","chief",12
"pretty","sure",12
"property","tax",12
"public","service",12
"r","u",12
"s","new",12
"s","way",12
"s","work",12
"said","can",12
"said","thats",12
"saying","â",12
"says","will",12
"see","can",12
"serving","calories",12
"sheâ","d",12
"short","time",12
"south","florida",12
"southern","california",12
"state","law",12
"state","police",12
"still","like",12
"sure","can",12
"t","going",12
"t","just",12
"t","mean",12
"take","look",12
"take","one",12
"task","force",12
"tells","us",12
"thats","good",12
"three","hours",12
"time","go",12
"time","just",12
"time","will",12
"two","people",12
"want","know",12
"want","say",12
"way","go",12
"wednesday","night",12
"west","coast",12
"will","know",12
"will","likely",12
"will","soon",12
"year","olds",12
"years","prison",12
"youâ","d",12
"â","also",11
"â","want",11
"already","know",11
"americaâ","s",11
"around","time",11
"award","winning",11
"back","school",11
"bay","area",11
"brown","said",11
"can","become",11
"can","bring",11
"can","feel",11
"can","used",11
"can","work",11
"cant","find",11
"christie","said",11
"christieâ","s",11
"coming","soon",11
"common","sense",11
"community","college",11
"company","said",11
"days","later",11
"decided","make",11
"doesnt","seem",11
"dont","understand",11
"earth","day",11
"even","get",11
"everything","can",11
"first","three",11
"first","week",11
"found","guilty",11
"fourth","quarter",11
"front","door",11
"george","washington",11
"get","â",11
"get","home",11
"get","married",11
"go","school",11
"go","see",11
"going","go",11
"good","things",11
"grand","prix",11
"grocery","store",11
"hope","see",11
"hot","dog",11
"hours","later",11
"im","also",11
"im","feeling",11
"im","good",11
"im","tired",11
"just","cant",11
"just","make",11
"just","really",11
"just","three",11
"know","exactly",11
"know","going",11
"know","youre",11
"last","fall",11
"least","two",11
"like","know",11
"love","u",11
"make","good",11
"maybe","just",11
"metro","east",11
"might","just",11
"much","money",11
"music","video",11
"near","future",11
"nearly","million",11
"need","something",11
"new","followers",11
"new","friends",11
"news","conference",11
"next","month",11
"nine","months",11
"number","one",11
"obamaâ","s",11
"one","direction",11
"per","day",11
"please","please",11
"pm","saturday",11
"police","say",11
"private","sector",11
"read","book",11
"really","want",11
"red","sox",11
"right","side",11
"rt","just",11
"s","big",11
"s","office",11
"s","right",11
"s","something",11
"said","know",11
"said","like",11
"said","police",11
"san","jose",11
"school","districts",11
"small","businesses",11
"sonâ","s",11
"spring","break",11
"spring","training",11
"sure","will",11
"t","understand",11
"team","will",11
"th","birthday",11
"thanks","great",11
"thats","just",11
"theres","something",11
"theyâ","ll",11
"theyre","going",11
"things","will",11
"think","ive",11
"three","games",11
"told","police",11
"trying","figure",11
"two","men",11
"two","three",11
"us","military",11
"want","miss",11
"wanted","make",11
"washington","dc",11
"way","life",11
"well","see",11
"white","sox",11
"whoâ","s",11
"will","happen",11
"will","held",11
"will","include",11
"will","just",11
"will","one",11
"will","use",11
"won","first",11
"world","series",11
"â","good",10
"â","like",10
"â","now",10
"â","see",10
"also","used",10
"answer","questions",10
"back","work",10
"bake","minutes",10
"basal","diet",10
"best","buy",10
"best","part",10
"blood","pressure",10
"bottom","line",10
"box","office",10
"came","across",10
"came","home",10
"can","afford",10
"can","found",10
"can","hold",10
"can","learn",10
"can","stop",10
"cant","even",10
"cant","see",10
"chris","christie",10
"co","founder",10
"college","students",10
"come","across",10
"come","see",10
"council","members",10
"court","judge",10
"day","long",10
"de","la",10
"despite","fact",10
"dining","room",10
"doesnt","know",10
"dont","see",10
"earlier","week",10
"end","day",10
"family","home",10
"far","away",10
"fell","love",10
"fox","news",10
"g","protein",10
"game","will",10
"get","know",10
"give","away",10
"going","good",10
"good","stuff",10
"got","get",10
"great","time",10
"guys","like",10
"help","get",10
"holy","spirit",10
"homeland","security",10
"hours","day",10
"human","beings",10
"human","rights",10
"im","always",10
"im","happy",10
"im","pretty",10
"im","trying",10
"ive","heard",10
"ive","read",10
"just","put",10
"just","think",10
"just","trying",10
"just","wanna",10
"keep","going",10
"kick","edi",10
"know","people",10
"last","couple",10
"last","months",10
"law","school",10
"left","knee",10
"like","iâ",10
"like","much",10
"likely","will",10
"little","boy",10
"long","way",10
"look","back",10
"lot","like",10
"lot","time",10
"love","â",10
"made","one",10
"make","work",10
"many","ways",10
"may","may",10
"mg","cholesterol",10
"middle","school",10
"might","make",10
"might","want",10
"natural","gas",10
"need","make",10
"never","forget",10
"new","book",10
"new","england",10
"new","job",10
"new","law",10
"new","mexico",10
"new","things",10
"next","days",10
"non","fiction",10
"number","people",10
"oh","man",10
"old","fashioned",10
"old","man",10
"one","hand",10
"one","now",10
"past","two",10
"people","â",10
"people","donâ",10
"people","said",10
"people","see",10
"people","take",10
"peopleâ","s",10
"per","serving",10
"play","game",10
"pm","friday",10
"pm","sunday",10
"points","rebounds",10
"press","release",10
"quite","bit",10
"real","world",10
"really","great",10
"really","liked",10
"really","think",10
"really","wanted",10
"right","away",10
"role","model",10
"s","great",10
"s","now",10
"s","really",10
"said","first",10
"sense","humor",10
"six","weeks",10
"something","will",10
"somewhere","else",10
"spokesman","said",10
"st","paul",10
"t","believe",10
"t","go",10
"t","make",10
"tampa","bay",10
"thanks","everyone",10
"thanks","rt",10
"thats","pretty",10
"theres","one",10
"things","get",10
"think","â",10
"think","one",10
"thought","might",10
"three","weeks",10
"time","think",10
"times","day",10
"tomorrow","night",10
"tried","get",10
"trying","find",10
"two","children",10
"two","things",10
"us","now",10
"video","games",10
"wait","get",10
"want","talk",10
"way","home",10
"well","get",10
"well","just",10
"whole","thing",10
"will","bring",10
"will","face",10
"will","offer",10
"will","put",10
"will","remain",10
"will","return",10
"women","men",10
"womenâ","s",10
"work","done",10
"work","im",10
"work","well",10
"worked","hard",10
"written","statement",10
"years","â",10
"years","earlier",10
"years","eve",10
"yes","yes",10
"â","dont",9
"â","high",9
"â","need",9
"â","oh",9
"â","yes",9
"across","street",9
"almost","percent",9
"also","like",9
"also","one",9
"another","baby",9
"another","day",9
"another","year",9
"anyone","can",9
"anything","like",9
"back","forth",9
"believe","will",9
"board","member",9
"calories","g",9
"can","â",9
"can","change",9
"can","continue",9
"can","keep",9
"can","play",9
"can","really",9
"can","remember",9
"can","start",9
"can","win",9
"carbohydrate","g",9
"charter","schools",9
"circuit","court",9
"college","football",9
"come","get",9
"come","true",9
"contributed","report",9
"countryâ","s",9
"county","jail",9
"couple","hours",9
"day","today",9
"debt","ceiling",9
"didnt","feel",9
"dont","love",9
"dont","take",9
"even","just",9
"every","week",9
"federal","court",9
"feel","free",9
"first","four",9
"first","game",9
"first","thought",9
"former","president",9
"free","agents",9
"friday","morning",9
"g","basal",9
"g","g",9
"g","saturated",9
"get","caught",9
"get","free",9
"get","much",9
"get","something",9
"get","things",9
"get","together",9
"get","used",9
"glad","see",9
"global","warming",9
"go","way",9
"go","wrong",9
"going","miss",9
"going","see",9
"going","take",9
"good","day",9
"good","see",9
"good","year",9
"gov","chris",9
"great","fun",9
"great","place",9
"great","things",9
"guilty","plea",9
"half","dozen",9
"heâ","ll",9
"help","make",9
"high","points",9
"higher","education",9
"hong","kong",9
"hope","like",9
"hope","youre",9
"im","looking",9
"incorporated","item",9
"just","can",9
"just","go",9
"just","keep",9
"just","made",9
"just","now",9
"just","realized",9
"just","time",9
"justice","department",9
"justin","bieber",9
"know","many",9
"know","really",9
"know","someone",9
"know","think",9
"large","number",9
"last","one",9
"late","last",9
"law","firm",9
"leave","comment",9
"lets","just",9
"lets","see",9
"like","can",9
"like","go",9
"like","going",9
"like","man",9
"like","something",9
"look","good",9
"looking","like",9
"lot","work",9
"lucky","enough",9
"luther","king",9
"made","clear",9
"make","decision",9
"make","money",9
"making","sure",9
"may","take",9
"maybe","will",9
"might","even",9
"million","people",9
"modern","day",9
"months","later",9
"moving","forward",9
"much","easier",9
"much","needed",9
"never","get",9
"never","thought",9
"news","release",9
"next","years",9
"nothing","like",9
"now","good",9
"now","want",9
"oh","yeah",9
"old","enough",9
"one","big",9
"one","biggest",9
"one","first",9
"one","great",9
"one","piece",9
"order","get",9
"paid","million",9
"part","â",9
"past","week",9
"pay","attention",9
"peanut","butter",9
"people","actually",9
"per","year",9
"percent","percent",9
"please","go",9
"point","guard",9
"point","view",9
"president","george",9
"pretty","cool",9
"protein","g",9
"put","back",9
"question","whether",9
"radio","show",9
"really","enjoyed",9
"red","light",9
"right","way",9
"round","pick",9
"running","around",9
"s","early",9
"s","fun",9
"s","iâ",9
"s","job",9
"s","life",9
"s","little",9
"s","still",9
"said","also",9
"said","going",9
"said","monday",9
"said","said",9
"said","still",9
"said","two",9
"said","want",9
"say","hello",9
"sci","fi",9
"season","will",9
"see","many",9
"show","tonight",9
"single","day",9
"social","networking",9
"social","security",9
"someone","elses",9
"someone","will",9
"something","different",9
"something","new",9
"stay","away",9
"still","going",9
"street","journal",9
"t","able",9
"t","come",9
"t","feel",9
"t","look",9
"t","wait",9
"taco","bell",9
"take","account",9
"take","pictures",9
"taking","place",9
"tax","cut",9
"tax","revenues",9
"thank","everyone",9
"theres","lot",9
"theres","nothing",9
"think","ill",9
"think","just",9
"think","like",9
"third","base",9
"though","im",9
"three","four",9
"three","quarters",9
"thus","far",9
"time","last",9
"today","day",9
"today","just",9
"told","associated",9
"two","sons",9
"u","dont",9
"us","just",9
"ve","made",9
"w","bush",9
"walking","around",9
"waste","time",9
"way","just",9
"way","will",9
"web","site",9
"week","will",9
"well","worth",9
"whats","going",9
"whole","time",9
"will","allow",9
"will","back",9
"will","great",9
"will","host",9
"will","let",9
"will","live",9
"will","stay",9
"working","class",9
"year","long",9
"year","year",9
"young","women",9
"yr","old",9
"â","canâ",8
"â","especially",8
"â","feel",8
"â","heâ",8
"â","hey",8
"â","hotop",8
"â","look",8
"â","pm",8
"â","thereâ",8
"â","three",8
"â","told",8
"able","make",8
"according","police",8
"almost","years",8
"also","found",8
"also","get",8
"also","got",8
"also","made",8
"also","makes",8
"also","will",8
"amount","time",8
"another","one",8
"anyone","know",8
"around","edges",8
"around","pm",8
"around","town",8
"around","us",8
"association","said",8
"atlantic","city",8
"back","next",8
"back","together",8
"bad","guys",8
"bad","thing",8
"behind","scenes",8
"best","best",8
"better","way",8
"big","enough",8
"bring","back",8
"building","new",8
"call","â",8
"came","just",8
"can","actually",8
"can","buy",8
"can","hear",8
"can","think",8
"cant","just",8
"cant","say",8
"cant","sleep",8
"chocolate","chip",8
"climate","change",8
"coffee","shop",8
"come","together",8
"comic","book",8
"county","officials",8
"couple","times",8
"create","jobs",8
"credit","card",8
"credit","cards",8
"cut","back",8
"day","can",8
"day","dont",8
"day","im",8
"day","love",8
"day","new",8
"day","think",8
"decided","take",8
"declined","comment",8
"defensive","end",8
"didnt","go",8
"didnt","take",8
"different","times",8
"different","ways",8
"doesnt","get",8
"doesnt","make",8
"doesnt","matter",8
"dont","expect",8
"dont","miss",8
"e","book",8
"election","campaign",8
"essex","county",8
"even","going",8
"every","minute",8
"every","month",8
"experts","say",8
"extra","time",8
"facebook","twitter",8
"fair","share",8
"family","said",8
"far","beyond",8
"fast","forward",8
"feel","bad",8
"feeling","like",8
"financial","crisis",8
"first","night",8
"fiscal","year",8
"five","minutes",8
"friend","mine",8
"g","carbohydrate",8
"g","fiber",8
"game","season",8
"george","w",8
"get","chance",8
"get","excited",8
"get","going",8
"get","good",8
"get","job",8
"get","paid",8
"get","point",8
"get","right",8
"get","see",8
"get","sleep",8
"getting","back",8
"getting","better",8
"gift","card",8
"glad","enjoyed",8
"going","come",8
"good","bye",8
"good","hear",8
"good","way",8
"got","done",8
"got","one",8
"gotta","go",8
"grand","jury",8
"great","week",8
"grilled","cheese",8
"group","people",8
"hard","working",8
"hes","going",8
"hey","guys",8
"high","profile",8
"holiday","season",8
"home","depot",8
"home","work",8
"hope","get",8
"hotop","run",8
"hours","minutes",8
"hudson","county",8
"ill","see",8
"ill","tell",8
"imperial","stout",8
"important","thing",8
"including","one",8
"including","two",8
"issued","statement",8
"ive","gotten",8
"job","creation",8
"jones","said",8
"just","â",8
"just","case",8
"just","enough",8
"just","found",8
"just","great",8
"just","happened",8
"just","might",8
"just","quick",8
"kind","like",8
"know","better",8
"know","thats",8
"la","russa",8
"lebron","james",8
"left","right",8
"left","side",8
"lets","make",8
"like","lot",8
"like","make",8
"like","new",8
"like","said",8
"little","one",8
"little","time",8
"long","day",8
"looking","good",8
"lose","weight",8
"love","hear",8
"m","just",8
"major","league",8
"man","woman",8
"many","others",8
"may","come",8
"may","make",8
"may","see",8
"may","sound",8
"maybe","even",8
"maybe","ill",8
"maybe","itâ",8
"maybe","thats",8
"merry","christmas",8
"middle","aged",8
"might","able",8
"millions","dollars",8
"monday","morning",8
"mr","obama",8
"much","later",8
"much","much",8
"must","say",8
"national","park",8
"nearly","two",8
"nearly","years",8
"need","go",8
"need","take",8
"never","ever",8
"never","give",8
"never","mind",8
"new","blog",8
"new","collection",8
"new","hampshire",8
"new","home",8
"new","ideas",8
"new","life",8
"new","zealand",8
"next","couple",8
"next","weekend",8
"northeast","ohio",8
"notre","dame",8
"now","cant",8
"now","going",8
"now","look",8
"now","see",8
"obama","said",8
"oh","yes",8
"old","friends",8
"older","people",8
"one","favourite",8
"one","hour",8
"one","just",8
"one","knows",8
"one","little",8
"one","new",8
"one","place",8
"one","reason",8
"one","reasons",8
"one","run",8
"one","things",8
"one","third",8
"orange","county",8
"part","life",8
"past","three",8
"people","work",8
"per","month",8
"percent","students",8
"phone","call",8
"phone","interview",8
"played","well",8
"pm","â",8
"pm","monday",8
"pm","thursday",8
"ppcc","â",8
"probably","going",8
"prosecutors","said",8
"public","library",8
"public","schools",8
"really","get",8
"really","looking",8
"really","nice",8
"rest","life",8
"right","around",8
"right","direction",8
"right","time",8
"right","wing",8
"run","kick",8
"s","book",8
"s","face",8
"s","hard",8
"s","house",8
"s","part",8
"s","people",8
"s","real",8
"said","city",8
"said","friday",8
"said","interview",8
"said","man",8
"said","many",8
"said","state",8
"said","think",8
"said","tuesday",8
"said","wasnt",8
"saturated","mg",8
"saturday","morning",8
"say","people",8
"secret","service",8
"see","tonight",8
"see","youre",8
"self","esteem",8
"since","january",8
"since","said",8
"sister","law",8
"six","seven",8
"small","business",8
"someone","like",8
"something","interesting",8
"something","wrong",8
"south","dakota",8
"star","wars",8
"starts","pm",8
"still","cant",8
"t","always",8
"t","let",8
"t","remember",8
"t","see",8
"take","long",8
"takes","place",8
"taking","time",8
"tax","breaks",8
"tell","stories",8
"tell","truth",8
"tens","thousands",8
"th","pm",8
"thank","much",8
"thanks","sharing",8
"thats","got",8
"thats","right",8
"theyâ","ve",8
"think","thats",8
"think","things",8
"think","well",8
"three","children",8
"three","different",8
"three","year",8
"throughout","day",8
"time","also",8
"time","come",8
"time","now",8
"time","one",8
"time","see",8
"top","bottom",8
"try","keep",8
"tv","show",8
"two","half",8
"two","one",8
"two","runs",8
"two","women",8
"two","year",8
"us","like",8
"ve","done",8
"ve","ever",8
"want","one",8
"wanted","see",8
"way","new",8
"weeks","will",8
"went","well",8
"went","wrong",8
"whipped","cream",8
"will","â",8
"will","available",8
"will","become",8
"will","change",8
"will","cost",8
"will","fall",8
"will","follow",8
"will","leave",8
"will","look",8
"will","people",8
"will","probably",8
"will","save",8
"will","send",8
"will","serve",8
"will","turn",8
"winner","will",8
"word","â",8
"year","everyone",8
"year","including",8
"year","now",8
"year","said",8
"year","will",8
"years","years",8
"yes","im",8
"york","ny",8
"young","woman",8
"youre","just",8
"youre","welcome",8
"â","always",7
"â","best",7
"â","free",7
"â","go",7
"â","happy",7
"â","much",7
"â","must",7
"â","never",7
"â","noâ",7
"â","people",7
"â","point",7
"â","something",7
"â","theyâ",7
"act","like",7
"actually","just",7
"affordable","housing",7
"also","called",7
"also","great",7
"also","know",7
"also","need",7
"always","get",7
"always","thought",7
"another","great",7
"anytime","soon",7
"back","back",7
"back","will",7
"baking","sheet",7
"bank","america",7
"believe","can",7
"best","can",7
"best","friends",7
"better","yet",7
"big","league",7
